# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04206e-05 to 53.4232 h/Mpc,
# number of wavenumbers equal to 243
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_ur                   7:d_tot                  8:phi                    9:psi                
       1.416527139199e-03      -2.702097263615e-01      -2.190582719810e-01      -2.192008804828e-01      -2.191992056881e-01      -2.677786462613e-01      -2.206038854908e-01       6.062440007717e-01       5.928342457728e-01 
       1.529530821670e-03      -3.106928762880e-01      -2.551763126248e-01      -2.553703007464e-01      -2.553685912087e-01      -3.074347386952e-01      -2.568787587734e-01       6.052907759832e-01       5.921823859776e-01 
       1.651549391254e-03      -3.564070414596e-01      -2.972064363190e-01      -2.974702128685e-01      -2.974684696833e-01      -3.520527272462e-01      -2.990582148201e-01       6.041885043430e-01       5.914257799321e-01 
       1.783302012034e-03      -4.077295715134e-01      -3.461011933997e-01      -3.464597637097e-01      -3.464579876307e-01      -4.019293740146e-01      -3.480828584141e-01       6.029155891422e-01       5.905481325803e-01 
       1.925565219523e-03      -4.649482922728e-01      -4.029613440059e-01      -4.034486460076e-01      -4.034468375069e-01      -4.572517436786e-01      -4.050364016456e-01       6.014479477108e-01       5.895308861359e-01 
       2.079177497483e-03      -5.282052390951e-01      -4.690570546619e-01      -4.697191695607e-01      -4.697173288795e-01      -5.180381444929e-01      -4.711653351736e-01       5.997589244632e-01       5.883529719516e-01 
       2.245044219853e-03      -5.974229540107e-01      -5.458515975966e-01      -5.467510664821e-01      -5.467491936738e-01      -5.840629083288e-01      -5.479007381184e-01       5.978193153195e-01       5.869905916373e-01 
       2.424142986925e-03      -6.722111592252e-01      -6.350275023505e-01      -6.362491749199e-01      -6.362472698861e-01      -6.547640586632e-01      -6.368822892894e-01       5.955974939897e-01       5.854169992963e-01 
       2.617529387212e-03      -7.517528342441e-01      -7.385151529325e-01      -7.401741482742e-01      -7.401722107942e-01      -7.291349219311e-01      -7.399845951953e-01       5.930597199550e-01       5.836023391791e-01 
       2.826343218975e-03      -8.346710955750e-01      -8.585238650397e-01      -8.607762397729e-01      -8.607742695290e-01      -8.056044335830e-01      -8.593459601365e-01       5.901706746104e-01       5.815135628594e-01 
       3.051815208062e-03      -9.188838147489e-01      -9.975748413313e-01      -1.000632148872e+00      -1.000630145470e+00      -8.819168259533e-01      -9.973997371993e-01       5.868942704233e-01       5.791144516435e-01 
       3.295274261680e-03      -1.001459254665e+00      -1.158535930910e+00      -1.162684769902e+00      -1.162682732890e+00      -9.550301644746e-01      -1.156908569272e+00       5.831947952148e-01       5.763658018594e-01 
       3.558155300819e-03      -1.078498740448e+00      -1.344657294556e+00      -1.350285776816e+00      -1.350283705696e+00      -1.021065167282e+00      -1.341002133974e+00       5.790385050787e-01       5.732259024147e-01 
       3.842007717529e-03      -1.145086194201e+00      -1.559607049151e+00      -1.567240193879e+00      -1.567238088121e+00      -1.075351413133e+00      -1.553218775283e+00       5.743954602950e-01       5.696511593071e-01 
       4.148504506860e-03      -1.195366770424e+00      -1.807505383374e+00      -1.817853345097e+00      -1.817851204149e+00      -1.112632851188e+00      -1.797552883406e+00       5.692419354268e-01       5.655973137310e-01 
       4.479452127312e-03      -1.222833224558e+00      -2.092956533182e+00      -2.106978821396e+00      -2.106976644689e+00      -1.127508303842e+00      -2.078509020855e+00       5.635629258042e-01       5.610209867630e-01 
       4.836801147907e-03      -1.220919764329e+00      -2.421075685117e+00      -2.440067347041e+00      -2.440065134000e+00      -1.115180214768e+00      -2.401164781669e+00       5.573546540924e-01       5.558817659413e-01 
       5.222657744628e-03      -1.183999948697e+00      -2.797508927436e+00      -2.823216288625e+00      -2.823214038671e+00      -1.072554709658e+00      -2.771244010131e+00       5.506266663932e-01       5.501448649429e-01 
       5.639296113988e-03      -1.108846326521e+00      -3.228443405714e+00      -3.263219388987e+00      -3.263217101543e+00      -9.996546824244e-01      -3.195200120782e+00       5.434028128371e-01       5.437841953710e-01 
       6.089171876895e-03      -9.965091827917e-01      -3.720610967204e+00      -3.767618221876e+00      -3.767615896370e+00      -9.011510410504e-01      -3.680308247285e+00       5.357206608775e-01       5.367859717765e-01 
       6.574936551816e-03      -8.543574717284e-01      -4.281266479863e+00      -4.344753046054e+00      -4.344750681923e+00      -7.875770388742e-01      -4.234752043579e+00       5.276276122435e-01       5.291515513666e-01 
       7.099453182532e-03      -6.977133682211e-01      -4.918156603794e+00      -5.003815390733e+00      -5.003812987424e+00      -6.754930129012e-01      -4.867691345493e+00       5.191739573378e-01       5.208997057896e-01 
       7.665813212606e-03      -5.500950218014e-01      -5.639456000071e+00      -5.754899794156e+00      -5.754897351129e+00      -5.856395712445e-01      -5.589277295250e+00       5.104020933244e-01       5.120666534386e-01 
       8.277354706016e-03      -4.407285299062e-01      -6.453664368962e+00      -6.609053242391e+00      -6.609050759119e+00      -5.382054200065e-01      -6.410580071255e+00       5.013332447185e-01       5.027029080851e-01 
       8.937682021332e-03      -3.980324547190e-01      -7.369454045544e+00      -7.578307264411e+00      -7.578304740384e+00      -5.451313536372e-01      -7.343392695811e+00       4.919539958924e-01       4.928653218249e-01 
       9.650687055417e-03      -4.387429183185e-01      -8.395427949634e+00      -8.675683047168e+00      -8.675680481888e+00      -6.012322118374e-01      -8.399912157606e+00       4.822076924712e-01       4.826042291802e-01 
       1.042057218184e-02      -5.548150937891e-01      -9.539783219915e+00      -9.915142545689e+00      -9.915139938678e+00      -6.787004289051e-01      -9.592364077351e+00       4.719966113843e-01       4.719468814564e-01 
       1.125187501919e-02      -7.042049663529e-01      -1.080977813612e+01      -1.131145372397e+01      -1.131145107477e+01      -7.318360544266e-01      -1.093271129847e+01       4.611990862422e-01       4.608805660525e-01 
       1.214949517534e-02      -8.155088974246e-01      -1.221108211912e+01      -1.287995466361e+01      -1.287995197176e+01      -7.173413490884e-01      -1.243267543047e+01       4.497026541986e-01       4.493440366867e-01 
       1.311872312515e-02      -8.157541831801e-01      -1.374687239700e+01      -1.463619851932e+01      -1.463619578441e+01      -6.261676678758e-01      -1.410414473667e+01       4.374419975334e-01       4.372347114713e-01 
       1.416527139199e-02      -6.791434968026e-01      -1.541682275304e+01      -1.659550713054e+01      -1.659550435214e+01      -5.059720736614e-01      -1.595973312191e+01       4.244231615247e-01       4.244384112462e-01 
       1.529530821666e-02      -4.699350898391e-01      -1.721598435771e+01      -1.877246378716e+01      -1.877246096489e+01      -4.415198171437e-01      -1.801268690491e+01       4.107120845391e-01       4.108752230174e-01 
       1.651549391176e-02      -3.289906490224e-01      -1.913368349091e+01      -2.118037369325e+01      -2.118037082672e+01      -4.809739003898e-01      -2.027519677384e+01       3.963839215720e-01       3.965393588157e-01 
       1.783302010906e-02      -3.695826251757e-01      -2.115248210722e+01      -2.383064851401e+01      -2.383064560286e+01      -5.632839902298e-01      -2.275514845309e+01       3.814639082621e-01       3.815006894057e-01 
       1.925565206518e-02      -5.393573736318e-01      -2.324741880122e+01      -2.673209156021e+01      -2.673208860410e+01      -5.582035772442e-01      -2.545356620704e+01       3.659168028341e-01       3.658550439198e-01 
       2.079177376287e-02      -6.201578113038e-01      -2.538582525596e+01      -2.989002161516e+01      -2.989001861375e+01      -4.396389304118e-01      -2.836585693668e+01       3.497108728549e-01       3.496576988357e-01 
       2.245043293693e-02      -4.764495018832e-01      -2.752804045583e+01      -3.330549334336e+01      -3.330549029635e+01      -3.651293493925e-01      -3.148635779013e+01       3.328996923989e-01       3.329142977914e-01 
       2.424137103356e-02      -2.974371510881e-01      -2.963034060886e+01      -3.697493980150e+01      -3.697493670857e+01      -4.290886227127e-01      -3.480972439522e+01       3.156219388046e-01       3.156578423220e-01 
       2.617497906706e-02      -3.528288360087e-01      -3.165122128458e+01      -4.089055576359e+01      -4.089055262447e+01      -4.455486010251e-01      -3.832563526214e+01       2.980222384315e-01       2.980243986185e-01 
       2.826199580119e-02      -4.875045534916e-01      -3.356128502671e+01      -4.504112776204e+01      -4.504112457646e+01      -3.260230416878e-01      -4.201683027146e+01       2.802296735855e-01       2.802214824261e-01 
       3.051249938375e-02      -4.152190345016e-01      -3.535581374339e+01      -4.941282322911e+01      -4.941281999687e+01      -3.225866842944e-01      -4.586933010654e+01       2.624400199937e-01       2.624566943429e-01 
       3.293336996262e-02      -4.219564644378e-01      -3.707458817118e+01      -5.398945877661e+01      -5.398945549763e+01      -3.620191740978e-01      -4.987986974315e+01       2.449532292084e-01       2.449744144654e-01 
       3.552331487266e-02      -6.107088204321e-01      -3.881911018555e+01      -5.875111419275e+01      -5.875111086720e+01      -2.550162842690e-01      -5.404723988633e+01       2.281136323125e-01       2.281204522272e-01 
       3.826582157228e-02      -4.338158611131e-01      -4.076031515602e+01      -6.367016334278e+01      -6.367015997126e+01      -2.862187053278e-01      -5.836900636526e+01       2.122972820787e-01       2.123026973711e-01 
       4.112404724473e-02      -1.655516419970e-01      -4.311800605433e+01      -6.870865207975e+01      -6.870864866350e+01      -2.588442581288e-01      -6.284985764455e+01       1.979132176323e-01       1.979178117813e-01 
       4.404493044138e-02      -2.094253419363e-01      -4.610380386362e+01      -7.382214779619e+01      -7.382214433717e+01      -2.158469923803e-01      -6.749305611880e+01       1.852719741574e-01       1.852687901694e-01 
       4.697466957067e-02      -2.941974435050e-01      -4.985181652270e+01      -7.897186375134e+01      -7.897186025203e+01      -2.487260868109e-01      -7.228382216285e+01       1.744387138621e-01       1.744392011246e-01 
       4.987520971806e-02      -2.123050230891e-01      -5.438530400089e+01      -8.413607363989e+01      -8.413607010298e+01      -2.119525107383e-01      -7.720271491727e+01       1.652509686782e-01       1.652509686782e-01 
       5.272987739079e-02      -2.027956498508e-01      -5.962411431627e+01      -8.930802751036e+01      -8.930802393841e+01      -2.024577456426e-01      -8.223710973225e+01       1.574808391005e-01       1.574808391005e-01 
       5.553868476799e-02      -1.946406328481e-01      -6.541514551120e+01      -9.448615498019e+01      -9.448615137548e+01      -1.943151000989e-01      -8.736086946455e+01       1.507970587060e-01       1.507970587060e-01 
       5.831086443783e-02      -1.874476935431e-01      -7.155954793254e+01      -9.966676099420e+01      -9.966675735868e+01      -1.871330668285e-01      -9.254061189321e+01       1.449089805805e-01       1.449089805805e-01 
       6.105929318352e-02      -1.808828094346e-01      -7.782855043912e+01      -1.048379688744e+02      -1.048379652096e+02      -1.805782540425e-01      -9.773169068204e+01       1.395691716580e-01       1.395691716580e-01 
       6.379744399755e-02      -1.746780350446e-01      -8.397710906225e+01      -1.099775127154e+02      -1.099775090227e+02      -1.743832078632e-01      -1.028784705662e+02       1.345774007066e-01       1.345774007066e-01 
       6.653804689347e-02      -1.686278015944e-01      -8.975414521774e+01      -1.150540304068e+02      -1.150540266874e+02      -1.683427248998e-01      -1.079169484616e+02       1.297779814460e-01       1.297779814460e-01 
       6.929265033370e-02      -1.625848027463e-01      -9.491907821741e+01      -1.200300262199e+02      -1.200300224746e+02      -1.623097470394e-01      -1.127797022678e+02       1.250563945131e-01       1.250563945131e-01 
